region,feature,n_binder,n_fp,mean_binder,mean_fp,mannwhitney_p
whole,mean_frac_hydrophobic,53,121,0.7499222141734458,0.7388768928342361,0.4306629514496917
whole,mean_n_total,53,121,18.05105429354104,18.499754430855614,0.014846029943402143
whole,mean_n_hydrophobic,53,121,13.515534083620574,13.655491081022996,0.39522127321809086
whole,mean_n_polar,53,121,2.1421362114339595,2.5184459818622433,0.05369736346846501
whole,mean_n_pos_charged,53,121,2.053250706374365,2.082230293328806,0.6565271274983683
whole,mean_n_neg_charged,53,121,0.34013329211214005,0.24358707464156673,0.0029750916379702387
core,mean_frac_hydrophobic,53,121,0.8517386551623484,0.8104900246018825,0.0009034039012424976
core,mean_n_total,53,121,13.288376084940268,14.036030282145138,0.0018315873627547969
core,mean_n_hydrophobic,53,121,11.278902901018379,11.344966371512095,0.5430476329761953
core,mean_n_polar,53,121,0.8134725625277819,1.1980163133367963,0.0057540631774840156
core,mean_n_pos_charged,53,121,1.063357589236962,1.3055149642223611,0.005256095416823997
core,mean_n_neg_charged,53,121,0.13264303215714499,0.18753263307388565,0.10457656633146613
tail,mean_frac_hydrophobic,53,121,0.5884142927535922,0.6247618869871837,0.018391787944578342
tail,mean_n_total,53,121,7.591291869119635,7.885630129077071,0.09217689683266744
tail,mean_n_hydrophobic,53,121,4.511731889976329,4.937517642913494,0.018070300291515434
tail,mean_n_polar,53,121,1.6598636316794095,1.6381254012815407,0.42684708468651844
tail,mean_n_pos_charged,53,121,1.206990376081864,1.205334206468069,0.9739142157748508
tail,mean_n_neg_charged,53,121,0.21270597138203276,0.1046528784139669,2.792711164970321e-06
